Date,Close,High,Low,Open,Volume,log_return,cum_return,rolling_vol_21
2016-06-03,4421.77978515625,4492.2001953125,4396.6298828125,4477.830078125,111642400,-0.009950872051744292,74.72542189498725,0.13769640610871342
2016-06-06,4423.3798828125,4435.6298828125,4407.009765625,4407.009765625,73061400,0.0003618018744193376,74.75246258408667,0.1363644694912657
2016-06-07,4475.85986328125,4486.47021484375,4441.2099609375,4443.41015625,96308900,0.011794398247346627,75.63934272559271,0.1406301574013929
2016-06-08,4448.72998046875,4473.2900390625,4435.35009765625,4461.27978515625,93531800,-0.0060798236909697986,75.18086400489045,0.14293303661783258
2016-06-09,4405.60986328125,4438.3798828125,4394.52001953125,4437.02001953125,95370600,-0.009739960027948564,74.45215992970924,0.14643481955483167
2016-06-10,4306.72021484375,4390.81005859375,4301.10009765625,4390.81005859375,119451700,-0.02270205437277376,72.78098428108339,0.16675851709929676
2016-06-13,4227.02001953125,4275.97021484375,4227.02001953125,4253.97998046875,115884600,-0.018679385714211377,71.43409886181573,0.1773178696706381
2016-06-14,4130.330078125,4199.5400390625,4127.8701171875,4175.2099609375,136119700,-0.023139931838576246,69.80009694049926,0.19317636217539122
2016-06-15,4171.580078125,4204.009765625,4162.02001953125,4172.72998046875,122586800,0.009937553814314751,70.49719715872266,0.19747947841954663
2016-06-16,4153.009765625,4162.3701171875,4109.81982421875,4116.5,117520700,-0.004461563549173067,70.18337003396564,0.19630292486101333
2016-06-17,4193.830078125,4218.52978515625,4170.169921875,4179.43994140625,196645100,0.009781100081778276,70.87320879158256,0.19870016246073297
2016-06-20,4340.759765625,4351.2099609375,4292.919921875,4301.18994140625,114524100,0.034434977804378035,73.35623223933395,0.22635988923715095
2016-06-21,4367.240234375,4382.91015625,4321.4599609375,4335.89013671875,99917600,0.006081890301940264,73.8037362525287,0.2260508015594218
2016-06-22,4380.02978515625,4416.97998046875,4372.35009765625,4398.39990234375,92072300,0.002924240332470754,74.01987197714902,0.20913268971055238
2016-06-23,4465.89990234375,4490.5498046875,4392.52001953125,4404.68017578125,124533400,0.01941521526926313,75.47102536939812,0.21671849908779953
2016-06-24,4106.72998046875,4198.89990234375,4007.969970703125,4114.580078125,415775700,-0.08384365325812584,69.4012694683474,0.36002795895403744
2016-06-27,4030.300048828125,4115.47021484375,4012.199951171875,4073.719970703125,130042900,-0.01878625964980448,68.109649540457,0.3628558899371686
2016-06-28,4088.85009765625,4119.080078125,4059.89990234375,4074.360107421875,179309200,0.014422953816871094,69.09911019051944,0.368240416668604
2016-06-29,4195.31982421875,4206.35009765625,4128.080078125,4139.3701171875,142748500,0.025705795590358488,70.89838460557166,0.3831515667403339
2016-06-30,4237.47998046875,4249.52978515625,4155.4501953125,4182.10986328125,146298700,0.009999171924473051,71.61086591762519,0.3856923224197056
2016-07-01,4273.9599609375,4288.72021484375,4218.10009765625,4261.08984375,116072800,0.008572040476892268,72.22735567145672,0.3876339277553458
2016-07-04,4234.85986328125,4288.66015625,4233.0,4288.5,74903000,-0.009190551376915006,71.56658751124513,0.38744863008226466
2016-07-05,4163.419921875,4216.06005859375,4148.7900390625,4203.97021484375,111925400,-0.017013404280815433,70.35929542047754,0.39074318009173153
2016-07-06,4085.300048828125,4153.41015625,4062.070068359375,4127.2001953125,138773700,-0.01894165616135336,69.03911649808819,0.3907012170608049
2016-07-07,4117.85009765625,4167.8798828125,4110.240234375,4115.5,99510400,0.007936029228215732,69.58919276817954,0.3929287624814933
2016-07-08,4190.68017578125,4210.33984375,4102.68017578125,4106.64990234375,112231900,0.017531847673191037,70.8199773343411,0.3989405586848314
2016-07-11,4264.52978515625,4271.7099609375,4207.3701171875,4221.22021484375,93378500,0.017468871313951858,72.06799136612354,0.39742617211275766
2016-07-12,4331.3798828125,4342.669921875,4270.990234375,4272.4501953125,129060400,0.015554245684781835,73.19771785495813,0.3953489753075446
2016-07-13,4335.259765625,4358.669921875,4321.89990234375,4329.52978515625,116377200,0.0008953604232058081,73.26328554357084,0.3853752863854415
2016-07-14,4385.52001953125,4402.22998046875,4345.43994140625,4375.669921875,93281800,0.011526678032481058,74.11265363971654,0.38581087496367794
2016-07-15,4372.509765625,4383.68994140625,4342.77001953125,4367.43017578125,85684600,-0.0029710480086656676,73.89278816487561,0.3855121987096249
2016-07-18,4357.740234375,4408.1298828125,4334.35986328125,4375.08984375,70379900,-0.0033835331956119066,73.64319195984694,0.38505598743261243
2016-07-19,4330.1298828125,4357.33984375,4304.2001953125,4345.39990234375,84731100,-0.006356090536483683,73.17659360592104,0.367035160715885
2016-07-20,4379.759765625,4391.56982421875,4333.35986328125,4354.56982421875,84591000,0.011396337258197485,74.01530880929063,0.3686243035040543
